model,group,target,subject,hop,count,clean_accuracy,poisoned_accuracy,accuracy_drop,epr,flip_rate,flip_count,clean_correct,clean_margin_avg,poisoned_margin_avg,margin_change_avg
Qwen3.5-2B,hub,hub_15,University of Oxford,d1,17,0.4117647058823529,0.29411764705882354,0.11764705882352938,0.28571428571428564,0.42857142857142855,3,7,3.889705908662804,1.088235302883036,-2.801470605779768
Qwen3.5-2B,hub,hub_15,University of Oxford,d2,77,0.45454545454545453,0.2077922077922078,0.24675324675324672,0.5428571428571428,0.5714285714285714,20,35,3.0827922123293816,2.063311699354513,-1.0194805129748685
Qwen3.5-2B,hub,hub_15,University of Oxford,d3,306,0.4019607843137255,0.23202614379084968,0.16993464052287582,0.42276422764227645,0.4878048780487805,60,123,2.9789624220765427,1.7399918268270351,-1.2389705952495076
Qwen3.5-2B,hub,hub_15,University of Oxford,d4,1000,0.367,0.229,0.13799999999999998,0.37602179836512256,0.42779291553133514,157,367,3.1122500021068262,2.0811249964353626,-1.0311250056714636
Qwen3.5-2B,hub,hub_15,University of Oxford,d5,1000,0.253,0.172,0.08100000000000002,0.32015810276679846,0.3794466403162055,96,253,2.8365000012724195,2.0117500014868566,-0.824749999785563
Qwen3.5-2B,hub,hub_2,China,d1,5,0.6,0.2,0.39999999999999997,0.6666666666666666,0.6666666666666666,2,3,3.299999979510903,4.500000060227467,1.2000000807165634
Qwen3.5-2B,hub,hub_2,China,d2,41,0.6829268292682927,0.2926829268292683,0.39024390243902446,0.5714285714285715,0.6071428571428571,17,28,2.073170737283895,4.673780484711309,2.600609747427414
Qwen3.5-2B,hub,hub_2,China,d3,130,0.2923076923076923,0.13846153846153847,0.15384615384615385,0.5263157894736842,0.5263157894736842,20,38,2.3749999910790045,2.8711538535295684,0.4961538624505639
Qwen3.5-2B,hub,hub_2,China,d4,276,0.22826086956521738,0.10507246376811594,0.12318840579710144,0.5396825396825397,0.6031746031746031,38,63,2.2445652207217948,2.454710145954053,0.21014492523225803
Qwen3.5-2B,hub,hub_2,China,d5,493,0.4198782961460446,0.30628803245436104,0.11359026369168357,0.2705314009661836,0.3188405797101449,66,207,2.832910739671678,3.6301977722195784,0.7972870325479002
Qwen3.5-2B,hub,hub_3,United States,d1,28,0.8571428571428571,0.25,0.6071428571428571,0.7083333333333334,0.7083333333333334,17,24,4.968750036562726,1.613839270630186,-3.35491076593254
Qwen3.5-2B,hub,hub_3,United States,d2,205,0.47804878048780486,0.04390243902439024,0.43414634146341463,0.9081632653061225,0.9081632653061225,89,98,2.7737804929867798,2.076524388174549,-0.6972561048122308
Qwen3.5-2B,hub,hub_3,United States,d3,954,0.29245283018867924,0.0649895178197065,0.22746331236897274,0.7777777777777778,0.7956989247311828,222,279,3.207023058522581,1.7955319749570255,-1.4114910835655554
Qwen3.5-2B,hub,hub_3,United States,d4,1000,0.296,0.05,0.246,0.8310810810810811,0.8547297297297297,253,296,3.1332499992158263,1.9628125047706417,-1.1704374944451845
Qwen3.5-2B,hub,hub_3,United States,d5,1000,0.331,0.037,0.29400000000000004,0.8882175226586103,0.8972809667673716,297,331,3.0193749994967947,1.8538124987486955,-1.1655625007480992
Qwen3.5-2B,hub,hub_4,England,d1,15,1.0,0.8666666666666667,0.1333333333333333,0.1333333333333333,0.13333333333333333,2,15,4.80000000152116,4.541666667632914,-0.2583333338882463
Qwen3.5-2B,hub,hub_4,England,d2,117,0.4188034188034188,0.4017094017094017,0.01709401709401709,0.040816326530612235,0.12244897959183673,6,49,2.8146367610539667,2.931089738036136,0.11645297698216917
Qwen3.5-2B,hub,hub_4,England,d3,614,0.28827361563517917,0.26547231270358307,0.0228013029315961,0.07909604519774015,0.20903954802259886,37,177,3.049674270838781,5.243078175629198,2.193403904790417
Qwen3.5-2B,hub,hub_4,England,d4,1000,0.29,0.267,0.022999999999999965,0.07931034482758609,0.1724137931034483,50,290,2.580499999080057,4.029125001945936,1.4486250028658794
Qwen3.5-2B,hub,hub_4,England,d5,1000,0.251,0.23,0.02099999999999999,0.0836653386454183,0.19123505976095617,48,251,2.7781249947773756,5.067625001420354,2.2895000066429785
Qwen3.5-2B,hub,hub_5,India,d1,23,0.9565217391304348,0.6086956521739131,0.34782608695652173,0.3636363636363636,0.36363636363636365,8,22,4.663043489381064,1.9456521652261827,-2.717391324154881
Qwen3.5-2B,hub,hub_5,India,d2,147,0.47619047619047616,0.46258503401360546,0.013605442176870708,0.028571428571428487,0.05714285714285714,4,70,2.910714285281094,2.643707474211166,-0.26700681106992796
Qwen3.5-2B,hub,hub_5,India,d3,614,0.2947882736156352,0.23452768729641693,0.06026058631921827,0.20441988950276252,0.3259668508287293,59,181,2.9576547285378836,3.065553746873787,0.10789901833590321
Qwen3.5-2B,hub,hub_5,India,d4,1000,0.283,0.259,0.023999999999999966,0.08480565371024723,0.2049469964664311,58,283,2.607374999554828,2.9099374960698476,0.30256249651501976
Qwen3.5-2B,hub,hub_5,India,d5,1000,0.332,0.291,0.041000000000000036,0.12349397590361456,0.19879518072289157,66,332,3.01712500380096,3.4632499936454986,0.4461249898445385
Qwen3.5-2B,hub,hub_6,Italy,d1,19,0.8421052631578947,0.42105263157894735,0.42105263157894735,0.5,0.5,8,16,4.203947361803761,2.493421063917738,-1.7105262978860227
Qwen3.5-2B,hub,hub_6,Italy,d2,94,0.7872340425531915,0.776595744680851,0.010638297872340496,0.013513513513513603,0.013513513513513514,1,74,3.972074472335504,4.628989333233318,0.6569148608978139
Qwen3.5-2B,hub,hub_6,Italy,d3,558,0.2831541218637993,0.2078853046594982,0.07526881720430109,0.2658227848101266,0.3860759493670886,61,158,3.149641570740289,5.502128143072325,2.3524865723320354
Qwen3.5-2B,hub,hub_6,Italy,d4,1000,0.3,0.26,0.03999999999999998,0.13333333333333328,0.22,66,300,2.702312495007645,3.658249996448929,0.9559375014412836
Qwen3.5-2B,hub,hub_6,Italy,d5,1000,0.405,0.357,0.04800000000000004,0.11851851851851862,0.17530864197530865,71,405,2.932749995008635,4.423437498855346,1.4906875038467113
Qwen3.5-2B,hub,hub_7,Germany,d1,24,0.875,0.20833333333333334,0.6666666666666666,0.7619047619047619,0.7619047619047619,16,21,4.161458338028751,1.6562500042685617,-2.50520833376019
Qwen3.5-2B,hub,hub_7,Germany,d2,136,0.45588235294117646,0.34558823529411764,0.11029411764705882,0.24193548387096775,0.25806451612903225,16,62,3.3722426604692695,2.9912683809897693,-0.38097427947950013
Qwen3.5-2B,hub,hub_7,Germany,d3,548,0.34306569343065696,0.2427007299270073,0.10036496350364965,0.2925531914893617,0.35106382978723405,66,188,3.2892335824338916,4.444571163556779,1.155337581122887
Qwen3.5-2B,hub,hub_7,Germany,d4,1000,0.331,0.244,0.08700000000000002,0.2628398791540786,0.311178247734139,103,331,2.8651250005211915,3.8345000013628576,0.9693750008416662
Qwen3.5-2B,hub,hub_7,Germany,d5,1000,0.289,0.236,0.05299999999999999,0.1833910034602076,0.3044982698961938,88,289,2.9050000050304807,4.162562498865136,1.2575624938346555
Qwen3.5-2B,hub,hub_8,Canada,d1,21,0.9523809523809523,0.8095238095238095,0.1428571428571428,0.14999999999999994,0.15,3,20,4.291666694251554,2.041666673418755,-2.250000020832799
Qwen3.5-2B,hub,hub_8,Canada,d2,117,0.5982905982905983,0.5555555555555556,0.042735042735042694,0.07142857142857137,0.12857142857142856,9,70,3.7190171069949147,3.5454059771122375,-0.17361112988267724
Qwen3.5-2B,hub,hub_8,Canada,d3,535,0.2635514018691589,0.2261682242990654,0.03738317757009346,0.14184397163120568,0.2695035460992908,38,141,3.252803730303813,4.4260514060683525,1.1732476757645394
Qwen3.5-2B,hub,hub_8,Canada,d4,1000,0.28,0.251,0.029000000000000026,0.10357142857142865,0.225,63,280,2.7571875030632946,3.689749999337604,0.9325624962743095
Qwen3.5-2B,hub,hub_8,Canada,d5,1000,0.312,0.279,0.032999999999999974,0.10576923076923068,0.19230769230769232,60,312,2.818125000098953,3.780000000363427,0.9618750002644738
Qwen3.5-2B,hub,hub_9,France,d1,28,0.8571428571428571,0.10714285714285714,0.75,0.875,0.875,21,24,3.763392844035739,2.2187499934973727,-1.5446428505383665
Qwen3.5-2B,hub,hub_9,France,d2,135,0.362962962962963,0.2962962962962963,0.06666666666666671,0.1836734693877552,0.20408163265306123,10,49,3.19814815412241,2.097222226989214,-1.1009259271331961
Qwen3.5-2B,hub,hub_9,France,d3,459,0.2701525054466231,0.15904139433551198,0.11111111111111113,0.4112903225806452,0.4838709677419355,60,124,2.6898148147831114,2.5848311542153275,-0.10498366056778385
Qwen3.5-2B,hub,hub_9,France,d4,1000,0.336,0.242,0.09400000000000003,0.2797619047619048,0.33630952380952384,113,336,2.8007499952922226,2.7513124991874647,-0.049437496104757894
Qwen3.5-2B,hub,hub_9,France,d5,1000,0.357,0.241,0.11599999999999999,0.32492997198879553,0.38935574229691877,139,357,2.6810000010008808,2.752000001201384,0.07100000020050334
Qwen3.5-2B,random,random_1,Tommie Connor,d1,7,0.0,0.0,0.0,,,0,0,3.446428592982037,8.026785766294259,4.580357173312222
Qwen3.5-2B,random,random_1,Tommie Connor,d2,18,0.3888888888888889,0.3888888888888889,0.0,0.0,0.14285714285714285,1,7,1.9791666931058798,2.385416668089521,0.406249974983641
Qwen3.5-2B,random,random_1,Tommie Connor,d3,126,0.5555555555555556,0.42063492063492064,0.13492063492063494,0.24285714285714288,0.35714285714285715,25,70,3.851190486540353,3.1443452319112515,-0.7068452546291013
Qwen3.5-2B,random,random_1,Tommie Connor,d4,550,0.41818181818181815,0.32727272727272727,0.09090909090909088,0.21739130434782605,0.29130434782608694,67,230,3.130000001251888,2.5189772771675383,-0.6110227240843495
Qwen3.5-2B,random,random_1,Tommie Connor,d5,1000,0.296,0.213,0.08299999999999999,0.2804054054054054,0.35135135135135137,104,296,3.081312506995484,2.8181875008851565,-0.2631250061103274
Qwen3.5-2B,random,random_10,Divya,d1,4,0.25,0.0,0.25,1.0,1.0,1,1,1.4687500298023224,3.1875000196378096,1.7187499898354872
Qwen3.5-2B,random,random_10,Divya,d2,41,0.8048780487804879,0.2926829268292683,0.5121951219512195,0.6363636363636364,0.6363636363636364,21,33,4.579268320582853,2.167682932632998,-2.4115853879498546
Qwen3.5-2B,random,random_10,Divya,d3,243,0.4691358024691358,0.1934156378600823,0.27572016460905346,0.587719298245614,0.631578947368421,72,114,3.346193423141618,3.797325100141066,0.4511316769994478
Qwen3.5-2B,random,random_10,Divya,d4,1000,0.404,0.211,0.19300000000000003,0.47772277227722776,0.5148514851485149,208,404,2.86437500494346,2.38424999599518,-0.48012500894828003
